,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
1596,Warung Mufu Balinese Foods & Pork Ribs,"Komplek Burung, Jl. Elang No.3, Tuban, Kuta, Kabupaten Badung, Bali 80361",facebook.com,"754F+H2 Tuban, Badung Regency, Bali",4.4,150,"https://www.google.com/maps/place/Warung+Mufu+Balinese+Foods+%26+Pork+Ribs/@-8.657239,115.0125274,11z/data=!4m9!1m3!2m2!1srestaurants+in+Badung+Regency,+Bali!6e5!3m4!1s0x2dd2441a72ab7fd7:0xb7adedec6f2926ec!8m2!3d-8.74353!4d115.172623?hl=id"
1597,Kaum Bali,"Jl. Petitenget No.51B, Seminyak, Kuta, Kabupaten Badung, Bali 83061",kaum.com,"84CX+7W Seminyak, Badung Regency, Bali",4.5,150,"https://www.google.com/maps/place/Kaum+Bali/@-8.657239,115.0125274,11z/data=!4m9!1m3!2m2!1srestaurants+in+Badung+Regency,+Bali!6e5!3m4!1s0x2dd24713195a84ef:0xd34b506242379f20!8m2!3d-8.679278!4d115.1498114?hl=id"
1599,Singabu Beach Bar and Grill,"jln ped tanah bias nusa penida, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",nusapenidaexplore.com,"8GG5+75 Ped, Klungkung Regency, Bali",4.5,150,"https://www.google.com/maps/place/Singabu+Beach+Bar+and+Grill/@-8.6567527,114.5897129,9z/data=!4m9!1m3!2m2!1srestaurants+in+Klungkung+Regency,+Bali!6e5!3m4!1s0x2dd2737c85084f3f:0xe245b4269cd134d5!8m2!3d-8.6743457!4d115.5079211?hl=id"
1601,NOAA Social Dining,"Jl. Petitenget No.2000X, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",noaa.live,"85F3+4M Kerobokan Kelod, Badung Regency, Bali",4.6,151,"https://www.google.com/maps/place/NOAA+Social+Dining/@-8.657239,115.0125274,11z/data=!4m9!1m3!2m2!1srestaurants+in+Badung+Regency,+Bali!6e5!3m4!1s0x2dd2470db912e377:0xd1180e90af754a32!8m2!3d-8.6771566!4d115.1542349?hl=id"
1605,Waroeng Sunset Point,"Amed St, Bunutan, Abang, Karangasem Regency, Bali 80852",,"MM67+R2 Bunutan, Karangasem Regency, Bali",3.5,151,"https://www.google.com/maps/place/Waroeng+Sunset+Point/@-8.6568036,114.5904003,9z/data=!4m9!1m3!2m2!1srestaurants+in+Karangasem+Regency,+Bali!6e5!3m4!1s0x2dd200801ed8f5ff:0xbf759115ceb8aac8!8m2!3d-8.3379378!4d115.6625179?hl=id"
1607,De jukung Resto & Bar Tanah Lot,"Beraban, Kediri, Tabanan Regency, Bali 82121",suryamandalatanahlot.com,"93MP+69 Beraban, Tabanan Regency, Bali",4.5,151,"https://www.google.com/maps/place/De+jukung+Resto+%26+Bar+Tanah+Lot/@-8.6570861,115.010465,11z/data=!4m8!1m2!2m1!1srestaurants+in+Tabanan+Regency,+Bali!3m4!1s0x2dd2370abed62d21:0x61e01bab275fc0bc!8m2!3d-8.6169184!4d115.085881?hl=id"
1608,Tropical Tanjung Restaurant,"Jl. Pratama No.93, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",tropicalbalirestaurant.com,"66MC+4M Benoa, Badung Regency, Bali",4.5,152,"https://www.google.com/maps/place/Tropical+Tanjung+Restaurant/@-8.657239,115.0125274,11z/data=!4m9!1m3!2m2!1srestaurants+in+Badung+Regency,+Bali!6e5!3m4!1s0x2dd243a66046b35f:0xb691cb6fd72ee2f4!8m2!3d-8.7671685!4d115.2216328?hl=id"
1609,Mujair Nyat-Nyat Pak Bagong,"Jl. Tirta Geduh, Bebalang, Kec. Bangli, Kabupaten Bangli, Bali 80614",,"G9M2+86 Bebalang, Bangli Regency, Bali",4.3,152,"https://www.google.com/maps/place/Mujair+Nyat-Nyat+Pak+Bagong/@-8.657239,115.0125274,9z/data=!4m9!1m3!2m2!1srestaurants+in+Bangli+Regency,+Bali!6e5!3m4!1s0x2dd219c309c2587f:0x4833291fef99cd53!8m2!3d-8.4666418!4d115.3505994?hl=id"
1611,Balissa Bar and Restaurant,"Jl. Raya Candidasa, Desa Bugbug, Kec. Karangasem, Kabupaten Karangasem, Bali 80811",,"FHQF+R4 Karangasem, Karangasem Regency, Bali",3.8,152,"https://www.google.com/maps/place/Balissa+Bar+and+Restaurant/@-8.6568036,114.5904003,9z/data=!4m9!1m3!2m2!1srestaurants+in+Karangasem+Regency,+Bali!6e5!3m4!1s0x2dd2092c3e94d33f:0xdddcd1df90fa07da!8m2!3d-8.5104074!4d115.5728328?hl=id"
1612,Puri Pandan Candidasa,"Jl. Raya Candidasa, Sengkidu, Kec. Manggis, Kabupaten Karangasem, Bali 80811",business.site,"FHR9+53 Sengkidu, Karangasem Regency, Bali",4.2,152,"https://www.google.com/maps/place/Puri+Pandan+Candidasa/@-8.6568036,114.5904003,9z/data=!4m12!1m3!2m2!1srestaurants+in+Karangasem+Regency,+Bali!6e5!3m7!1s0x2dd20ed35420b3ad:0xc65fddc7d2461d99!5m2!4m1!1i2!8m2!3d-8.5095239!4d115.567742?hl=id"
