,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
333,EMBUNG BATURETNO,"Jl. Wiyoro Baru Jl. Wiyoro Kidul, Wirono, Baturetno, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta 55198",,"5CH6+2J Baturetno, Bantul Regency, Special Region of Yogyakarta",4.4,84,"https://www.google.com/maps/place/EMBUNG+BATURETNO/@-7.9456084,110.1605478,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a57aad87a87b1:0xa8c0c9913cefc9d0!8m2!3d-7.8224954!4d110.411567!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVE5ISTJlRzVSUlJBQg?hl=id"
334,Taman Budaya Gunungkidul,"Jl. Lkr. Utara, Ngisis, Piyaman, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55861",bappeda.gunungkidulkab.go.id,"3H3Q+V3 Piyaman, Gunung Kidul Regency, Special Region of Yogyakarta",4.5,84,"https://www.google.com/maps/place/Taman+Budaya+Gunungkidul/@-8.0961535,110.1548969,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a4d6eb5e853f7:0xaadb2af66908a363!8m2!3d-7.9453594!4d110.5876376!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUjVObVJoYTFobkVBRQ?hl=id"
335,Wisata Puncak,"Jl. Wedi Wonosari, Wungu, Watugajah, Gedang Sari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55863",,"5HHW+QG Watugajah, Gunung Kidul Regency, Special Region of Yogyakarta",4.5,85,"https://www.google.com/maps/place/Wisata+Puncak/@-8.1314541,110.2688597,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a4f5006534377:0x99ab78ddce20139f!8m2!3d-7.8205951!4d110.5963146!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXdiMUI2VDNsblJSQUI?hl=id"
336,Kali Ngreneng wediutah Semanu gunungkidul,"Wediutah, Wedi Utah, Ngeposari, Kec. Semanu, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55893",instagram.com,"XMG9+XP Ngeposari, Gunung Kidul Regency, Special Region of Yogyakarta",4.2,85,"https://www.google.com/maps/place/Kali+Ngreneng+wediutah+Semanu+gunungkidul/@-7.8264138,110.3706677,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7bb5d3f59a0931:0xd317c9bfaf28e6f9!8m2!3d-8.0225684!4d110.6692696!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkpiMDV4Y1cxblJSQUI?hl=id"
337,Geopark Gunung Sewu,"Patuk, Gunung Kidul Regency, Special Region of Yogyakarta 55862",,"5F2H+XR Patuk, Gunung Kidul Regency, Special Region of Yogyakarta",4.4,85,"https://www.google.com/maps/place/Geopark+Gunung+Sewu/@-8.1487828,110.315564,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a51a15741f3bd:0x267394459555d8d7!8m2!3d-7.8475299!4d110.4795506!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkpibk55TXpoM1JSQUI?hl=id"
338,Tourism Village Trumpon,"Trumpon, Merdikorejo, Blumbang, Merdikorejo, Kec. Tempel, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55552",,"99J6+9J Merdikorejo, Sleman Regency, Special Region of Yogyakarta",4,86,"https://www.google.com/maps/place/Tourism+Village+Trumpon/@-7.9414886,110.1442342,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+sleman!6e1!3m5!1s0x2e7a606e62eefc01:0x15f0090813bf53db!8m2!3d-7.6190816!4d110.3615413!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW5aKAoMb2JqZWsgd2lzYXRhIhhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkpNV1EzU0dsUlJSQUI?hl=id"
339,Embung KP,"Banjaroyo, Muntilan, Kulon Progo, Tomogoro, Banjaroyo, Kec. Kalibawang, Magelang, Jawa Tengah 55672",,"86RP+C2 Banjaroyo, Kulon Progo Regency, Special Region of Yogyakarta",4.3,87,"https://www.google.com/maps/place/Embung+KP/@-7.939368,109.9622645,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7af3600b500831:0x962b234131781450!8m2!3d-7.6588773!4d110.235082!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU52ZW1JeWRqWlJSUkFC?hl=id"
340,Nature Flower Cane,"Gendu, Jatimulyo, Girimulyo, Kulon Progo Regency, Special Region of Yogyakarta 55674",,"7552+96 Jatimulyo, Kulon Progo Regency, Special Region of Yogyakarta",4.4,87,"https://www.google.com/maps/place/Nature+Flower+Cane/@-7.8202403,110.0938245,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7af1e647a8f1c5:0xe413d5f357d4a84a!8m2!3d-7.74157!4d110.1505354!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgEMbW91bnRhaW5faHV0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI1ZERrdFUxRm5FQUU?hl=id"
341,Gunung Lanang,"Dusun Bayeman, Area Kebun, Sindutan, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654",,"429X+C5 Sindutan, Kulon Progo Regency, Special Region of Yogyakarta",4.1,87,"https://www.google.com/maps/place/Gunung+Lanang/@-7.8202403,110.0938245,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7ae41cffffffff:0x53308275496cc193!8m2!3d-7.8814305!4d110.0479439!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgEVaGVyaXRhZ2VfcHJlc2VydmF0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU52TWtwaFdYRlJSUkFC?hl=id"
342,Wisata Alam Puncak Gunungjambu,"Wangon, Serut, Gedang Sari, Gunung Kidul Regency, Special Region of Yogyakarta 55863",gunungjambu.business.site,"6H48+75 Serut, Gunung Kidul Regency, Special Region of Yogyakarta",4.7,87,"https://www.google.com/maps/place/Wisata+Alam+Puncak+Gunungjambu/@-7.7943307,110.2853187,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a4f830ff38aa5:0x9adabab741a1df78!8m2!3d-7.7943307!4d110.5654701!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlJOMHRIUlcxUlJSQUI?hl=id"
