,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
905,Pantai Jatimalang,"Patu, Jatimalang, Purwodadi, Purworejo Regency, Central Java",,"4XCM+46 Jatimalang, Purworejo Regency, Central Java",4.3,"3,695","https://www.google.com/maps/place/Pantai+Jatimalang/@-7.8202403,110.0938245,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7ae73cc53b4007:0xcc620eef919e0be!8m2!3d-7.8796615!4d109.9830996!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0wZW5OUWJVbFJFQUU?hl=id"
906,Tourism Zone Malioboro,"Jl. Margo Mulyo Jl. Jend. Ahmad Yani No.106, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",visitingjogja.com,"6928+P4 Ngupasan, Yogyakarta City, Special Region of Yogyakarta",4.7,"3,721","https://www.google.com/maps/place/Tourism+Zone+Malioboro/@-7.8089581,110.2898038,12z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a578819c338f1:0x72aa3ad97ecccfb6!8m2!3d-7.7982546!4d110.3653112!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSQmVXUllWVGhSUlJBQg?hl=id"
908,Tugu Pal Putih,"Cokrodiningratan, Jetis, Yogyakarta City, Special Region of Yogyakarta 55233",hondatugu.com,"6988+RR Cokrodiningratan, Yogyakarta City, Special Region of Yogyakarta",4.7,"3,762","https://www.google.com/maps/place/Tugu+Pal+Putih/@-7.809384,110.3235595,13z/data=!4m9!1m2!2m1!1sobjek+wisata+near+yogyakarta!3m5!1s0x2e7a58373fffffff:0xffb2d5ffd8a9bd10!8m2!3d-7.7829437!4d110.3670548!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBCG1vbnVtZW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVI1ZERkRWVIWjNSUkFC?hl=id"
910,Wisata jeepmerapi_01,"Kaliurang, Hargobinangun, Pakem, Sleman Regency, Special Region of Yogyakarta 55582",business.site,"CC4M+Q4 Hargobinangun, Sleman Regency, Special Region of Yogyakarta",4.4,"3,825","https://www.google.com/maps/place/Wisata+jeepmerapi_01/@-7.8176686,109.9866108,10z/data=!4m9!1m2!2m1!1sobjek+wisata+near+sleman!3m5!1s0x2e7a672c47087c37:0x38ff2c166bf45c37!8m2!3d-7.5930117!4d110.4327843!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW5aKAoMb2JqZWsgd2lzYXRhIhhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnpNa2xYUVc1QlJSQUI?hl=id"
911,Jurang Tembelan Kanigoro,"Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783",business.site,"3C5J+X2 Mangunan, Bantul Regency, Special Region of Yogyakarta",4.5,"3,860","https://www.google.com/maps/place/Jurang+Tembelan+Kanigoro/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a535efa9f6961:0xd94caa6b36062e9f!8m2!3d-7.9400136!4d110.430023!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOM2RGazNZelJSUlJBQg?hl=id"
913,Ledok Sambi,"Kaliurang St No.KM. 19, 2, Area Sawah, Pakembinangun, Pakem, Sleman Regency, Special Region of Yogyakarta 55582",ledoksambi.net,"9C3H+56 Pakembinangun, Sleman Regency, Special Region of Yogyakarta",4.6,"3,990","https://www.google.com/maps/place/Ledok+Sambi/@-7.9413718,110.1445831,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a5de21c5696bb:0x1c946f8d6d01946!8m2!3d-7.6470943!4d110.4280998!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXdNMGxJZEZGQkVBRQ?hl=id"
915,Queen Of The South Beach Resort,"Desa Jl. Parangrejo No.13/RW 13, Parang Reja, Girijati, Purwosari, Gunung Kidul Regency, Special Region of Yogyakarta 55872",queenofthesouth.co,"X8CR+P9 Girijati, Gunung Kidul Regency, Special Region of Yogyakarta",4.4,"4,170","https://www.google.com/maps/place/Queen+Of+The+South+Beach+Resort/@-8.0281783,110.0607876,10z/data=!4m13!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m8!1s0x2e7b0096c9fe2179:0x4e00a77272d24691!5m2!4m1!1i2!8m2!3d-8.0281783!4d110.340939!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySAQVob3RlbA?hl=id"
916,Seribu batu rumah hobbit,"Sukorame, Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783",,"3C9H+HV Mangunan, Bantul Regency, Special Region of Yogyakarta",4.6,"4,218","https://www.google.com/maps/place/Seribu+batu+rumah+hobbit/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a5363e3efa59b:0xa9eb4fe186a06819!8m2!3d-7.931099!4d110.429738!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOdk5XOWlPRUZuRUFF?hl=id"
920,Alun-alun Utara Keraton Yogyakarta,"Alun-Alun Utara St, Ngupasan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55122",,"59W7+CQ Ngupasan, Yogyakarta City, Special Region of Yogyakarta",4.6,"4,309","https://www.google.com/maps/place/Alun-alun+Utara+Keraton+Yogyakarta/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a578eff189057:0xfa69e0635f45b96d!8m2!3d-7.8039434!4d110.3644389!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBCWNpdHlfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOM2VqWTNOR1JuRUFF?hl=id"
921,Embung Nglanggeran,"Nglanggeran Wetan, Nglanggeran, Patuk, Gunung Kidul Regency, Special Region of Yogyakarta 55862",gunungapipurba.com,"5G3W+4P Nglanggeran, Gunung Kidul Regency, Special Region of Yogyakarta",4.5,"4,348","https://www.google.com/maps/place/Embung+Nglanggeran/@-7.9413718,110.1445831,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a4e40416ef711:0x5e15a88116b3577e!8m2!3d-7.8471399!4d110.5468589!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOM2FrcHVabDkzUlJBQg?hl=id"
