,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
40,Eco Wisata Mangrove forrest Lembar selatan,"Lembar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83364",,"73M8+42 Lembar, West Lombok Regency, West Nusa Tenggara",4,503,"https://www.google.com/maps/place/Eco+Wisata+Mangrove+forrest+Lembar+selatan/@-8.3596687,114.2831202,7z/data=!4m10!1m3!2m2!1sobjek+wisata+di+ntb!6e1!3m5!1s0x2dcdbd0cd2afd363:0x6c85047674b95fb0!8m2!3d-8.7172092!4d116.0650658!15sChNvYmplayB3aXNhdGEgZGkgbnRiWiMKDG9iamVrIHdpc2F0YSITb2JqZWsgd2lzYXRhIGRpIG50YpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSSk1rOU1hV3QzUlJBQg?hl=id"
54,Big Tree Sambelia,"Labuhan Lombok, Pringgabaya, East Lombok Regency, West Nusa Tenggara 83654",,"GMGF+RW Labuhan Lombok, East Lombok Regency, West Nusa Tenggara",4.3,537,"https://www.google.com/maps/place/Big+Tree+Sambelia/@-8.4729705,114.4336012,7z/data=!4m10!1m3!2m2!1sobjek+wisata+di+ntb!6e1!3m5!1s0x2dcc39665c1cbd35:0xe889811ae55cdb1a!8m2!3d-8.4729705!4d116.6748121!15sChNvYmplayB3aXNhdGEgZGkgbnRiWiMKDG9iamVrIHdpc2F0YSITb2JqZWsgd2lzYXRhIGRpIG50YpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObk1VbEhVbXRuUlJBQg?hl=id"
0,Daya Tarik Wisata Bedugul,"Jl. Puncak Mangu No.1, Batunya, Buleleng, Kabupaten Tabanan, Bali 82191",,"P58C+9M Batunya, Tabanan Regency, Bali",4.6,550,"https://www.google.com/maps/place/Daya+Tarik+Wisata+Bedugul/@-8.5820678,113.8302822,7z/data=!4m10!1m3!2m2!1sobjek+wisata+di+ntb!6e1!3m5!1s0x2dd189715a929dcb:0x80d8c409911b09c2!8m2!3d-8.2840649!4d115.1716726!15sChNvYmplayB3aXNhdGEgZGkgbnRiWiMKDG9iamVrIHdpc2F0YSITb2JqZWsgd2lzYXRhIGRpIG50YpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVGRHTlRkRE5CUlJBQg?hl=id"
50,Pantai Ketapang,"Pringgabaya, East Lombok Regency, West Nusa Tenggara 83654",,"CMX6+CV Pringgabaya, East Lombok Regency, West Nusa Tenggara",4.2,567,"https://www.google.com/maps/place/Pantai+Ketapang/@-8.4729705,114.4336012,7z/data=!4m10!1m3!2m2!1sobjek+wisata+di+ntb!6e1!3m5!1s0x2dcc477bf120e6d7:0xafb9a9336dc401e6!8m2!3d-8.5513769!4d116.6621618!15sChNvYmplayB3aXNhdGEgZGkgbnRiWiMKDG9iamVrIHdpc2F0YSITb2JqZWsgd2lzYXRhIGRpIG50YpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUmRHTmxNRGhuUlJBQg?hl=id"
233,Makam Batu Layar,"Jl. Raya Senggigi No.69, Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83355",,"F3M6+F6 Batu Layar, West Lombok Regency, West Nusa Tenggara",4.4,576,"https://www.google.com/maps/place/Makam+Batu+Layar/@-8.5288266,116.5986441,7z/data=!4m9!1m2!2m1!1sobjek+wisata+near+ntb!3m5!1s0x2dcdc1f3c932f0a5:0xe8e456ba6cdbbaa5!8m2!3d-8.5163278!4d116.0605167!15sChVvYmplayB3aXNhdGEgbmVhciBudGJaJQoMb2JqZWsgd2lzYXRhIhVvYmplayB3aXNhdGEgbmVhciBudGKSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnpNMHQxTWpCQlJSQUI?hl=id"
143,Otak kokok Joben Evergreen,"Pesanggrahan, Montong Gading, East Lombok Regency, West Nusa Tenggara 83663",jungleboytour.com,"F98X+9G Pesanggrahan, East Lombok Regency, West Nusa Tenggara",4,582,"https://www.google.com/maps/place/Otak+kokok+Joben+Evergreen/@-8.9206925,114.2044188,7z/data=!4m10!1m3!2m2!1sobjek+wisata+di+nusa+tenggara+barat!6e1!3m5!1s0x2dcdcadcd989c7d3:0xeee31017e211b8ba!8m2!3d-8.5341201!4d116.3988654!15sCiNvYmplayB3aXNhdGEgZGkgbnVzYSB0ZW5nZ2FyYSBiYXJhdFozCgxvYmplayB3aXNhdGEiI29iamVrIHdpc2F0YSBkaSBudXNhIHRlbmdnYXJhIGJhcmF0kgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5KTUhOWVYxUlJFQUU?hl=id"
53,WISATA ALAM AIKNYET,"Aiknyet desa Buwun Sejati, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83371",facebook.com,"F67Q+Q4 Sesaot, West Lombok Regency, West Nusa Tenggara",4.3,740,"https://www.google.com/maps/place/WISATA+ALAM+AIKNYET/@-8.4729705,114.4336012,7z/data=!4m10!1m3!2m2!1sobjek+wisata+di+ntb!6e1!3m5!1s0x2dcdc98613350d7b:0xb34948c6e7dd2f72!8m2!3d-8.5355474!4d116.2377664!15sChNvYmplayB3aXNhdGEgZGkgbnRiWiMKDG9iamVrIHdpc2F0YSITb2JqZWsgd2lzYXRhIGRpIG50YpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNME5scHRibVozRUFF?hl=id"
218,Bukit Selong,"Sembalun Lawang, Sembalun, East Lombok Regency, West Nusa Tenggara 83656",rinjanilombok.net,"JGPR+72 Sembalun Lawang, East Lombok Regency, West Nusa Tenggara",4.6,776,"https://www.google.com/maps/place/Bukit+Selong/@-8.5874636,114.208594,7z/data=!4m10!1m3!2m2!1sobjek+wisata+near+ntb!6e1!3m5!1s0x2dcc2e5cd085f77d:0xf30083d207ff5d31!8m2!3d-8.3642771!4d116.5400712!15sChVvYmplayB3aXNhdGEgbmVhciBudGJaJQoMb2JqZWsgd2lzYXRhIhVvYmplayB3aXNhdGEgbmVhciBudGKSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxNbGxZY0dObkVBRQ?hl=id"
170,Istana Dalam Loka,"Seketeng, Sumbawa Sub-District, Sumbawa Regency, West Nusa Tenggara 84313",,"FCWG+6X Seketeng, Sumbawa Regency, West Nusa Tenggara",4.5,870,"https://www.google.com/maps/place/Istana+Dalam+Loka/@-8.7662221,113.8111305,7z/data=!4m9!1m2!2m1!1sobjek+wisata+di+nusa+tenggara+barat!3m5!1s0x2dcb933eb99e0009:0x93d7c6363616745c!8m2!3d-8.5044344!4d117.4274255!15sCiNvYmplayB3aXNhdGEgZGkgbnVzYSB0ZW5nZ2FyYSBiYXJhdFozCgxvYmplayB3aXNhdGEiI29iamVrIHdpc2F0YSBkaSBudXNhIHRlbmdnYXJhIGJhcmF0kgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVE0TldGWFNHOW5SUkFC?hl=id"
55,State Museum of West Nusa Tenggara,"Jl. Panji Tilar Negara No.6, Taman Sari, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83117",,"C38P+39 Taman Sari, Mataram City, West Nusa Tenggara",4.5,964,"https://www.google.com/maps/place/State+Museum+of+West+Nusa+Tenggara/@-8.7084849,114.6111681,7z/data=!4m9!1m2!2m1!1sobjek+wisata+di+ntb!3m5!1s0x2dcdc07e57ab2055:0x559532ffe67ed68f!8m2!3d-8.5848213!4d116.0859554!15sChNvYmplayB3aXNhdGEgZGkgbnRiWiMKDG9iamVrIHdpc2F0YSITb2JqZWsgd2lzYXRhIGRpIG50YpIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOcGFqVlBVa0ZSRUFF?hl=id"
